Leaf,Measurement Type,Integration Time,LED Current,Score
mango,absorbance,200,25 mA,0.9316894619646737
mango,absorbance,200,25 mA,0.900789827267975
mango,absorbance,200,25 mA,0.9387931614386236
mango,absorbance,200,25 mA,0.921073015379841
mango,absorbance,200,25 mA,0.8861443378067811
mango,absorbance,200,25 mA,0.9198253751451486
mango,absorbance,200,25 mA,0.9367743009540002
mango,absorbance,200,50 mA,0.899714946122574
mango,absorbance,200,50 mA,0.8850694050249684
mango,absorbance,200,50 mA,0.8618422368106371
mango,absorbance,200,50 mA,0.8706059859930706
mango,absorbance,200,50 mA,0.9175351316758826
mango,absorbance,200,50 mA,0.8659324679707794
mango,absorbance,200,50 mA,0.892679679105464
mango,absorbance,200,50 mA,0.8263949643670694
mango,absorbance,200,50 mA,0.9055866767585037
mango,absorbance,200,50 mA,0.819187068878217
mango,absorbance,200,100 mA,0.8822604621833611
mango,absorbance,200,100 mA,0.81190445076416
mango,absorbance,200,100 mA,0.9198228421013266
mango,absorbance,200,100 mA,0.9080877269841314
mango,absorbance,200,100 mA,0.8584885006025482
mango,absorbance,200,100 mA,0.8538140540636382
mango,absorbance,200,100 mA,0.8853914550612543
mango,absorbance,200,100 mA,0.8950453173596103
mango,absorbance,200,100 mA,0.8595759465733573
mango,absorbance,200,100 mA,0.8676117505761695
mango,absorbance,250,12.5 mA,0.8780954653436636
mango,absorbance,250,12.5 mA,0.8784391057678085
mango,absorbance,250,12.5 mA,0.9108642717156142
mango,absorbance,250,12.5 mA,0.9127903231073746
mango,absorbance,250,12.5 mA,0.9416245904332899
mango,absorbance,250,12.5 mA,0.9309566850103721
mango,absorbance,250,12.5 mA,0.8890677099955672
mango,absorbance,250,12.5 mA,0.878739091255824
mango,absorbance,250,12.5 mA,0.9071872051446284
mango,absorbance,250,12.5 mA,0.8881437023914123
mango,absorbance,250,25 mA,0.8965905978335166
mango,absorbance,250,25 mA,0.9025538848546916
mango,absorbance,250,25 mA,0.9017080548847439
mango,absorbance,250,25 mA,0.9376425400918191
mango,absorbance,250,25 mA,0.8546810056142546
mango,absorbance,250,25 mA,0.9378043617096591
mango,absorbance,250,25 mA,0.8921475728625071
mango,absorbance,250,25 mA,0.9393428917186165
mango,absorbance,250,25 mA,0.9156503954120081
mango,absorbance,250,25 mA,0.9225794940095796
mango,absorbance,250,50 mA,0.8258296029440829
mango,absorbance,250,50 mA,0.9095059146147941
mango,absorbance,250,50 mA,0.8577701510680995
mango,absorbance,250,50 mA,0.8922034000215426
